product_id	product_brand	product_name	product_retail_price	product_cost
186	High Top	High Top Cauliflower	2.23	1.05
187	High Top	High Top Tomatos	1.32	0.42
188	High Top	High Top Mushrooms	2.58	0.8
189	High Top	High Top Baby Onion	3.45	1.24
190	High Top	High Top Dried Mushrooms	3.74	1.5
191	High Top	High Top Fresh Lima Beans	2.87	1.06
192	High Top	High Top Squash	1.52	0.61
193	High Top	High Top Limes	3.68	1.62
194	High Top	High Top Firm Tofu	3.36	1.28
195	High Top	High Top Almonds	1.77	0.55
196	High Top	High Top Macintosh Apples	2.47	0.79
197	High Top	High Top Golden Delcious Apples	2.91	1.46
198	High Top	High Top Red Delcious Apples	0.92	0.31
199	High Top	High Top Lemons	1.67	0.73
200	High Top	High Top Fancy Plums	2.65	1.3
201	High Top	High Top Plums	2.25	0.88
202	High Top	High Top Peaches	1.49	0.7
203	High Top	High Top Broccoli	0.63	0.2
204	High Top	High Top Mandarin Oranges	1.6	0.62
205	High Top	High Top Mixed Nuts	2.71	1.25
206	High Top	High Top Canned Peanuts	2.11	0.89
207	High Top	High Top Sweet Onion	1.24	0.55
208	High Top	High Top Cantelope	2.47	1.11
209	High Top	High Top Honey Dew	1.87	0.58
210	High Top	High Top Fuji Apples	1.54	0.55
211	High Top	High Top Walnuts	2.72	1.22
212	High Top	High Top Oranges	1.66	0.58
213	High Top	High Top Tangerines	0.56	0.19
214	High Top	High Top Party Nuts	2.82	1.07
215	Tip Top	Tip Top Lox	0.79	0.33
216	Tip Top	Tip Top Scallops	3.6	1.48
217	Best Choice	Best Choice Low Fat Cookies	0.68	0.29
218	Best Choice	Best Choice BBQ Potato Chips	3.44	1.65
219	Best Choice	Best Choice Corn Chips	2.52	0.83
220	Best Choice	Best Choice Low Fat BBQ Chips	2.55	0.77
221	Best Choice	Best Choice Sugar Cookies	3.66	1.43
222	Best Choice	Best Choice Chocolate Chip Cookies	3.95	1.22
223	Best Choice	Best Choice Fudge Cookies	3.19	1.28
224	Best Choice	Best Choice Fudge Brownies	1.73	0.61
225	Best Choice	Best Choice Potato Chips	3.89	1.87
226	Best Choice	Best Choice Lemon Cookies	0.76	0.33
227	Best Choice	Best Choice Graham Crackers	1.98	0.87
228	Best Choice	Best Choice Cheese Crackers	0.82	0.41
229	Best Choice	Best Choice Buttered Popcorn	2.23	1
230	Best Choice	Best Choice No Salt Popcorn	1.19	0.46
231	Best Choice	Best Choice Low Fat Popcorn	2.65	1.01
232	Best Choice	Best Choice Salsa Dip	2.63	0.84
233	Best Choice	Best Choice Avocado Dip	2.46	1.23
234	Best Choice	Best Choice Salted Pretzels	2.7	1.03
235	Best Choice	Best Choice Cheese Dip	3.55	1.21
236	Best Choice	Best Choice Fondue Mix	1.81	0.67
237	Best Choice	Best Choice Mini Donuts	2.68	1.07
238	Best Choice	Best Choice Beef Jerky	1.97	0.85
239	Best Choice	Best Choice Chocolate Donuts	2.21	0.77
240	Best Choice	Best Choice Low Fat Chips	0.86	0.4
241	Best Choice	Best Choice Sesame Crackers	2.91	1.02
242	Best Choice	Best Choice Frosted Cookies	2.59	1.01
243	Best Choice	Best Choice Dried Apples	2.11	0.99
244	Best Choice	Best Choice Apple Fruit Roll	2.7	0.84
245	Best Choice	Best Choice Strawberry Fruit Roll	1.49	0.46
246	Best Choice	Best Choice Raspberry Fruit Roll	3.21	1.22
247	Best Choice	Best Choice Grape Fruit Roll	1.78	0.85
248	Best Choice	Best Choice Dried Dates	0.86	0.31
249	Best Choice	Best Choice Raisins	1.59	0.68
250	Best Choice	Best Choice Golden Raisins	2.59	0.83
251	Best Choice	Best Choice Dried Apricots	2.44	1.12
252	Best Choice	Best Choice Frosted Donuts	2.71	1.33
253	Choice	Choice Tasty Candy Bar	0.89	0.38
254	Choice	Choice Mint Chocolate Bar	0.56	0.2
255	Choice	Choice Malted Milk Balls	0.64	0.24
256	Choice	Choice Semi-Sweet Chocolate Bar	2.65	0.82
257	Choice	Choice Bubble Gum	0.53	0.16
258	Choice	Choice Spicy Mints	1.72	0.6
259	Choice	Choice Mints	1.9	0.84
260	Choice	Choice White Chocolate Bar	1.84	0.72
261	Medalist	Medalist Ravioli	3.38	1.42
262	Medalist	Medalist Manicotti	1.34	0.44
263	Medalist	Medalist Spaghetti	3.8	1.33
264	Medalist	Medalist Thai Rice	2.78	1.25
265	Medalist	Medalist Rice Medly	3.61	1.19
266	Good	Good Imported Beer	1.62	0.76
267	Good	Good Light Wine	0.83	0.28
268	Good	Good Chardonnay Wine	1.73	0.54
269	Good	Good Chablis Wine	2.84	1.25
270	Good	Good Merlot Wine	2.24	0.78
271	Good	Good Chardonnay	2.37	1.16
272	Good	Good White Zinfandel Wine	3.91	1.92
273	Good	Good Light Beer	2.18	1.02
274	Great	Great Pumpernickel Bread	3.74	1.68
275	Great	Great White Bread	3.27	1.41
276	Great	Great Rye Bread	3.86	1.51
277	Great	Great English Muffins	2.41	1.18
278	Great	Great Cranberry Muffins	3.36	1.04
279	Great	Great Muffins	2.82	1.3
280	Great	Great Bagels	1.81	0.74
281	Great	Great Blueberry Muffins	2.63	1.13
282	Great	Great Wheat Bread	0.93	0.36
283	Super	Super Sesame Oil	2.73	0.96
284	Super	Super Chunky Peanut Butter	0.99	0.49
285	Super	Super Hot Chocolate	1.86	0.69
286	Super	Super Brown Sugar	1.42	0.61
287	Super	Super White Sugar	1.56	0.61
288	Super	Super French Roast Coffee	2.86	1.37
289	Super	Super Decaf Coffee	1.37	0.59
290	Super	Super Regular Coffee	1.7	0.63
291	Super	Super Vegetable Oil	2.22	0.89
292	Super	Super Corn Oil	1.81	0.69
293	Super	Super Tomato Sauce	1.6	0.48
294	Super	Super Canola Oil	1.32	0.45
295	Super	Super Grape Preserves	3.12	1.19
296	Super	Super Columbian Coffee	0.5	0.23
297	Super	Super Strawberry Jelly	0.9	0.36
298	Super	Super Pepper	2.83	1.1
299	Super	Super Low Fat Apple Butter	1.68	0.77
300	Super	Super Salt	2.94	1.44
301	Super	Super Apple Butter	0.53	0.23
302	Super	Super Oregano	3.45	1.24
303	Super	Super Apple Jelly	2.58	0.88
304	Super	Super Grape Jam	1.89	0.72
305	Super	Super Apple Jam	3.39	1.53
306	Super	Super Strawberry Jam	3.96	1.47
307	Super	Super Creamy Peanut Butter	1.48	0.64
308	Super	Super Strawberry Preserves	2.18	0.89
309	Super	Super Extra Chunky Peanut Butter	3.62	1.19
310	Super	Super Apple Preserves	0.76	0.33
311	Super	Super Grape Jelly	2.15	0.67
312	Excellent	Excellent Berry Juice	2.13	0.66
313	Excellent	Excellent Mango Drink	2.85	1.37
314	Excellent	Excellent Strawberry Drink	1.85	0.81
315	Excellent	Excellent Cream Soda	0.96	0.39
316	Excellent	Excellent Diet Soda	1.31	0.55
317	Excellent	Excellent Cola	2.18	1.09
318	Excellent	Excellent Diet Cola	2.47	0.96
319	Excellent	Excellent Orange Juice	1.6	0.59
320	Excellent	Excellent Cranberry Juice	3.26	1.08
321	Excellent	Excellent Apple Juice	2.41	0.8
322	Excellent	Excellent Apple Drink	2.98	0.92
323	Best	Best Oatmeal	3.5	1.23
324	Best	Best Corn Puffs	1.97	0.85
325	Best	Best Wheat Puffs	1.51	0.65
326	Best	Best Grits	2.47	0.89
327	Better	Better Canned Beets	0.6	0.26
328	Better	Better Creamed Corn	1.26	0.44
329	Better	Better Canned String Beans	1.74	0.64
330	Better	Better Chicken Soup	3.98	1.71
331	Better	Better Canned Yams	2.83	1.25
332	Better	Better Vegetable Soup	2.21	0.86
333	Better	Better Canned Tomatos	1.32	0.57
334	Better	Better Noodle Soup	0.78	0.39
335	Better	Better Regular Ramen Soup	3.74	1.31
336	Better	Better Chicken Noodle Soup	1.15	0.36
337	Better	Better Turkey Noodle Soup	0.75	0.31
338	Better	Better Beef Soup	0.57	0.22
339	Better	Better Canned Peas	1.4	0.69
340	Better	Better Chicken Ramen Soup	0.63	0.3
341	Better	Better Canned Tuna in Water	2.77	1.02
342	Better	Better Canned Tuna in Oil	1.5	0.5
343	Better	Better Large Canned Shrimp	2.3	0.71
344	Better	Better Fancy Canned Anchovies	2.28	1.03
345	Better	Better Fancy Canned Clams	2.11	0.74
346	Better	Better Fancy Canned Oysters	2.12	0.68
347	Better	Better Fancy Canned Sardines	1.2	0.44
348	Better	Better Rice Soup	1.23	0.46
349	Swell	Swell Canned Mixed Fruit	2.34	0.98
350	Swell	Swell Canned Peaches	1.63	0.59
351	ADJ	ADJ Rosy Sunglasses	2.76	0.86
352	Black Tie	Black Tie Eyeglass Screwdriver	0.67	0.23
353	Black Tie	Black Tie City Map	1.57	0.69
354	Carlson	Carlson Low Fat Cottage Cheese	2.25	0.72
355	Carlson	Carlson Low Fat Sour Cream	0.81	0.34
356	Carlson	Carlson Sour Cream	2.36	0.83
357	Carlson	Carlson Jack Cheese	1.8	0.86
358	Carlson	Carlson Muenster Cheese	3.75	1.24
359	Carlson	Carlson String Cheese	1.32	0.41
360	Carlson	Carlson Low Fat String Cheese	1.31	0.51
361	Carlson	Carlson Havarti Cheese	1.13	0.37
362	Carlson	Carlson Head Cheese	3.97	1.91
363	Carlson	Carlson Cheese Spread	1.82	0.67
364	Carlson	Carlson Sharp Cheddar Cheese	2.2	1.08
365	Carlson	Carlson Mild Cheddar Cheese	3.96	1.47
366	Carlson	Carlson Large Curd Cottage Cheese	2.36	0.9
367	Carlson	Carlson 2% Milk	3.49	1.22
368	Carlson	Carlson Buttermilk	1.14	0.39
369	Carlson	Carlson Chocolate Milk	2.3	0.87
370	Carlson	Carlson 1% Milk	0.92	0.36
371	Carlson	Carlson Whole Milk	0.66	0.31
372	Carlson	Carlson Strawberry Yogurt	3.98	1.71
373	Carlson	Carlson Blueberry Yogurt	2.76	0.99
374	Moms	Moms Chicken Hot Dogs	1.49	0.54
375	Moms	Moms Pimento Loaf	2.29	0.89
376	Moms	Moms Beef Bologna	2.27	0.89
377	Moms	Moms Low Fat Bologna	2.1	0.71
378	Moms	Moms Turkey Hot Dogs	1.11	0.42
379	Moms	Moms Foot-Long Hot Dogs	3.85	1.89
380	Moms	Moms Low Fat Cole Slaw	1.22	0.52
381	Moms	Moms Cole Slaw	2.33	1
382	Moms	Moms Roasted Chicken	1.62	0.73
383	Moms	Moms Corned Beef	2.75	1.1
384	Moms	Moms Sliced Turkey	0.54	0.25
385	Moms	Moms Sliced Ham	1.56	0.61
386	Moms	Moms Potato Salad	2.23	0.85
387	Moms	Moms Sliced Chicken	2.41	0.82
388	Urban	Urban Small Brown Eggs	2.35	0.87
389	Urban	Urban Large Brown Eggs	1.79	0.86
390	Urban	Urban Small Eggs	3.74	1.72
391	Urban	Urban Large Eggs	1.31	0.46
392	Urban	Urban Egg Substitute	1.3	0.44
393	Big Time	Big Time Low Fat Waffles	1.12	0.36
394	Big Time	Big Time Orange Popsicles	3.13	1.13
395	Big Time	Big Time Frozen Chicken Breast	2.22	1
396	Big Time	Big Time Frozen Pancakes	3.24	1.17
397	Big Time	Big Time Low Fat French Fries	1.35	0.46
398	Big Time	Big Time Frozen Sausage Pizza	0.8	0.35
399	Big Time	Big Time Blueberry Waffles	0.87	0.37
400	Big Time	Big Time Fajita French Fries	1.43	0.47
401	Big Time	Big Time Waffles	0.7	0.26
402	Big Time	Big Time Frozen Pepperoni Pizza	1.13	0.38
403	Big Time	Big Time Frozen Cheese Pizza	1.55	0.48
404	Big Time	Big Time Frozen Mushroom Pizza	1.25	0.39
405	Big Time	Big Time Apple Cinnamon Waffles	3.69	1.22
406	Big Time	Big Time Frozen Carrots	1.64	0.8
407	Big Time	Big Time Turkey TV Dinner	3.21	1.51
408	Big Time	Big Time Chicken TV Dinner	2.2	1.06
409	Big Time	Big Time Beef TV Dinner	3.91	1.64
410	Big Time	Big Time Pancake Mix	1.26	0.53
411	Big Time	Big Time Grape Popsicles	0.51	0.26
412	Big Time	Big Time Home Style French Fries	1.38	0.54
413	Big Time	Big Time Lime Popsicles	2.25	0.88
414	Big Time	Big Time Ice Cream	2.77	0.89
415	Big Time	Big Time Ice Cream Sandwich	2.91	1.25
416	Big Time	Big Time Frozen Cauliflower	3.32	1.33
417	Big Time	Big Time Frozen Broccoli	2.72	1.2
418	Big Time	Big Time Frozen Corn	3.16	1.49
419	Big Time	Big Time Frozen Peas	3.57	1.29
420	Big Time	Big Time Popsicles	2.27	0.77
421	Big Time	Big Time Frozen Chicken Thighs	2.95	1.39
422	Big Time	Big Time Frozen Chicken Wings	3.67	1.25
423	Big Time	Big Time Lemon Popsicles	1.47	0.71
424	Steady	Steady Silky Smooth Hair Conditioner	1.45	0.49
425	Steady	Steady Tartar Control Toothpaste	1.28	0.42
426	Steady	Steady Whitening Toothpast	0.6	0.26
427	Steady	Steady Toothpaste	2.14	0.79
428	Steady	Steady Deodorant	0.67	0.24
429	Steady	Steady Conditioning Shampoo	1.51	0.48
430	Steady	Steady Extra Moisture Shampoo	1.8	0.72
431	Steady	Steady Angled Toothbrush	0.96	0.38
432	Steady	Steady Apricot Shampoo	2.35	1.13
433	Steady	Steady Childrens Aspirin	1.74	0.54
434	Steady	Steady Buffered Aspirin	1.42	0.44
435	Steady	Steady 200 MG Ibuprofen	2.83	1.33
436	Steady	Steady 200 MG Acetominifen	1.53	0.63
437	Steady	Steady HCL Nasal Spray	1.97	0.93
438	Steady	Steady Dishwasher Detergent	1.93	0.97
439	Steady	Steady Multi-Symptom Cold Remedy	3.5	1.72
440	Steady	Steady Childrens Cold Remedy	0.67	0.32
441	Steady	Steady Laundry Detergent	0.57	0.26
442	Steady	Steady Mint Mouthwash	2.24	1.08
443	Red Wing	Red Wing 60 Watt Lightbulb	1.33	0.48
444	Red Wing	Red Wing Plastic Forks	2.59	1.04
445	Red Wing	Red Wing Plastic Spoons	3.46	1.18
446	Red Wing	Red Wing Plastic Knives	3.75	1.58
447	Red Wing	Red Wing C-Size Batteries	2.88	1.01
448	Red Wing	Red Wing 100 Watt Lightbulb	1.54	0.74
449	Red Wing	Red Wing AAA-Size Batteries	3.69	1.73
450	Red Wing	Red Wing Paper Plates	3.37	1.55
451	Red Wing	Red Wing Paper Cups	1.78	0.85
452	Red Wing	Red Wing 75 Watt Lightbulb	2.48	0.94
453	Red Wing	Red Wing Toilet Bowl Cleaner	2.92	1.05
454	Red Wing	Red Wing Counter Cleaner	0.93	0.42
455	Red Wing	Red Wing Glass Cleaner	1.68	0.66
456	Red Wing	Red Wing 25 Watt Lightbulb	2.67	0.8
457	Red Wing	Red Wing AA-Size Batteries	2.26	0.99
458	Red Wing	Red Wing D-Size Batteries	1.5	0.47
459	Red Wing	Red Wing Paper Towels	0.64	0.23
460	Red Wing	Red Wing Soft Napkins	1.61	0.71
461	Red Wing	Red Wing Scented Tissue	2.72	1.01
462	Red Wing	Red Wing Toilet Paper	2.12	0.78
463	Red Wing	Red Wing Tissues	1.25	0.51
464	Red Wing	Red Wing Scented Toilet Tissue	3.56	1.74
465	Red Wing	Red Wing Room Freshener	2.95	1.27
466	Red Wing	Red Wing Frying Pan	2.63	1.26
467	Red Wing	Red Wing Copper Cleaner	3.81	1.49
468	Red Wing	Red Wing Bees Wax Candles	1.74	0.7
469	Red Wing	Red Wing Silver Cleaner	1.29	0.58
470	Red Wing	Red Wing Copper Pot Scrubber	2.9	1.04
471	Red Wing	Red Wing Economy Toilet Brush	0.83	0.3
472	Red Wing	Red Wing Scissors	0.82	0.37
473	Red Wing	Red Wing Large Sponge	0.73	0.27
474	Red Wing	Red Wing Screw Driver	3.52	1.58
475	Quick	Quick Extra Lean Hamburger	2.61	0.84
476	Quick	Quick Seasoned Hamburger	3.64	1.13
477	Dollar	Dollar Monthly Sports Magazine	0.86	0.3
478	Dollar	Dollar Monthly Auto Magazine	2.91	1.25
479	Dollar	Dollar Monthly Computer Magazine	2.15	1.05
480	Dollar	Dollar Monthly Home Magazine	1.69	0.76
481	Dollar	Dollar Monthly Fashion Magazine	2.85	1.34
482	Tell Tale	Tell Tale Summer Squash	0.73	0.36
483	Tell Tale	Tell Tale Corn on the Cob	1.94	0.68
484	Tell Tale	Tell Tale Asparagus	3.64	1.82
485	Tell Tale	Tell Tale Sweet Peas	2.19	0.83
486	Tell Tale	Tell Tale New Potatos	1.14	0.51
487	Tell Tale	Tell Tale Beets	2.6	1.17
488	Tell Tale	Tell Tale Prepared Salad	2.59	1.3
489	Tell Tale	Tell Tale Onions	2.41	1.06
490	Tell Tale	Tell Tale Green Pepper	1.65	0.54
491	Tell Tale	Tell Tale Shitake Mushrooms	3.51	1.47
492	Tell Tale	Tell Tale Lettuce	1.77	0.58
493	Tell Tale	Tell Tale Elephant Garlic	2.64	0.9
494	Tell Tale	Tell Tale Red Pepper	1.93	0.81
495	Tell Tale	Tell Tale Garlic	1.17	0.48
496	Tell Tale	Tell Tale Potatos	0.84	0.31
497	Tell Tale	Tell Tale Cauliflower	1.87	0.64
498	Tell Tale	Tell Tale Tomatos	2.55	1.22
499	Tell Tale	Tell Tale Mushrooms	2.96	1.42
500	Tell Tale	Tell Tale Baby Onion	2.66	1.28
501	Tell Tale	Tell Tale Dried Mushrooms	1.45	0.7
502	Tell Tale	Tell Tale Fresh Lima Beans	3.17	1.24
503	Tell Tale	Tell Tale Squash	1.86	0.89
504	Tell Tale	Tell Tale Limes	1.84	0.77
505	Tell Tale	Tell Tale Firm Tofu	1.67	0.8
506	Tell Tale	Tell Tale Almonds	3.68	1.14
507	Tell Tale	Tell Tale Macintosh Apples	2.53	1.04
508	Tell Tale	Tell Tale Golden Delcious Apples	3.79	1.36
